url,decisao,url_destino,tipo,prioridade,score,observacoes
/2026/06/guia-completo-melhor-bike-de-estrada-para-iniciantes-em-2026/,fundir,/guias/melhor-bike-de-estrada-para-iniciantes/,301,1,32,"Fundir com posts 9 e 10. URL atual será redirecionada."
/2026/07/comparativo-5-melhores-bikes-de-estrada-ate-r-5-000-em-2026/,reescrever,/guias/melhores-bikes-de-estrada-ate-5-mil/,301,1,28,"Reescrever com modelos reais e preços verificados. Manter URL nova."
/2026/07/comparativo-5-melhores-bikes-de-estrada-ate-r-10-000-em-2026/,reescrever,/guias/melhores-bikes-de-estrada-ate-10-mil/,301,1,25,"Reescrever corrigindo erros. Manter URL nova."
/2026/08/bicicleta-de-estrada-nova-vs-usada-pros-e-contras-e-precos-no-brasil/,fundir,/guias/melhor-bike-de-estrada-para-iniciantes/#nova-vs-usada,301,1,40,"Fundir com post 1 como seção do guia principal."
/2026/06/guia-de-compra-seu-orcamento-ideal-para-a-primeira-bike-de-estrada-em-2026/,fundir,/guias/melhor-bike-de-estrada-para-iniciantes/,301,1,30,"Fundir com post 1. Conteúdo sobre orçamento vira seção."
/2026/06/scott-addict-2026-ficha-tecnica-completa-preco-no-brasil-e-para-quem-e-indicada/,reescrever,/reviews/scott-addict-2026/,301,2,,Pendente lote 2
/2026/06/scott-foil-2026-review-completo-do-modelo-aero-e-suas-novidades/,reescrever,/reviews/scott-foil-2026/,301,2,,Pendente lote 2
/2026/07/cervelo-a-preferida-dos-profissionais-do-worldtour/,atualizar,/marcas/cervelo-guia-completo/,301,3,,Pendente lote 5
/2026/07/specialized-tarmac-sl8-vale-o-investimento-review-completo/,reescrever,/reviews/specialized-tarmac-sl8/,301,2,,Pendente lote 3
/2026/07/trek-madone-vs-trek-emonda-diferencas-entre-as-linhas-aero-e-leve-da-trek/,reescrever,/comparativos/trek-madone-vs-emonda/,301,2,,Pendente lote 3
/2026/07/cannondale-supersix-evo-vs-systemsix-qual-escolher-em-2026/,reescrever,/comparativos/cannondale-supersix-vs-systemsix/,301,2,,Pendente lote 3
/2026/07/lancamentos-de-bikes-de-estrada-2026-o-que-esperar-das-principais-marcas/,remover_redirecionar,/categoria/lancamentos/,301,2,,Pendente lote 6
/2026/07/tendencias-em-bikes-de-estrada-2026-aero-esta-vencendo-as-leves/,manter,/tendencias/bike-aero-vs-leve/,301,3,,Manter com atualizações
/2026/07/o-que-as-equipes-do-worldtour-estao-usando-em-2026-equipamentos-bikes-e-componentes/,atualizar,/worldtour/equipamentos-2026/,301,3,,Pendente lote 6
/2026/07/inovacoes-em-componentes-de-bike-2026-grupos-eletronicos-rodas-de-carbono-e-sensores-de-potencia/,atualizar,/componentes/inovacoes-2026/,301,3,,Pendente lote 4
/2026/07/melhores-rodas-de-carbono-custo-beneficio-para-bike-de-estrada-em-2026-guia-completo/,atualizar,/guias/melhores-rodas-de-carbono/,301,2,,Pendente lote 4
/2026/07/melhores-pedais-clipless-para-iniciantes-em-ciclismo-de-estrada-qual-escolher-em-2026/,atualizar,/guias/melhores-pedais-clipless/,301,2,,Pendente lote 4
/2026/07/melhores-capacetes-de-ciclismo-de-estrada-2026-de-r-200-a-r-2-000/,reescrever,/guias/melhores-capacetes-ciclismo/,301,1,,Segurança - prioridade alta. Pendente lote 4
